participant	language	starting_point	ending_point	word	vowel	stress	focus	duration	pitch	intensity	gender	f0	Ntime	z1	type
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	244.810019819056	135	0.6674032544977987	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	227.169537680181	140	0.17209798518691502	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	214.437643946824	145	-0.18538510426565633	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	206.396583603696	150	-0.41116008748003696	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	198.166327372841	155	-0.64224726791133	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	192.13783951487	160	-0.8115137187102848	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	184.633123559956	165	-1.0222293515307046	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	177.129076799406	170	-1.232926194870652	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	172.950189397849	175	-1.3502600031845813	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	172.497062460396	180	-1.3629827937534724	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	174.854012276693	185	-1.2968049163959958	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	177.809121633124	190	-1.213832057485037	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	180.764230989555	195	-1.130859198574078	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	183.566015352946	200	-1.052191362415439	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	189.16048500510001	205	-0.8951111717552751	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	176.627840840102	210	-1.246999779133083	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	170.226997796157	215	-1.426721130439644	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	173.126938754712	220	-1.3452972767062252	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	177.011114055847	225	-1.236238324777713	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	174.678695010297	230	-1.301727432978225	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	172.906024359636	235	-1.351500058641909	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	175.054393017585	240	-1.291178673527412	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	175.392655874524	245	-1.2816810093402855	like_de
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	131	251	60	f	189.312941508311	250	-0.890830534254177	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	218.227821731795	5	-0.078965392279207125	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	198.529781884492	10	-0.632042278424176	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	188.814789413343	15	-0.9048175305059504	like_de
